filename,text
workout_start,Workout starts. Let's crush this.
warmup_start,Warm-up. Get your body ready.
cooldown_start,Cooldown. Nice and easy.
rest_normal,Rest. Breathe and reset.
countdown_10,Ten seconds left.
countdown_3,Three.
countdown_2,Two.
countdown_1_work,One, get ready.
countdown_1_rest,One, rest.
finish_A,Workout complete. Nice job.
finish_B,Workout complete. Great work today.
finish_C,Workout complete. Well done.
work_start_jumping-jack,Start: Jumping Jack. Stay strong.
work_start_high-knees,Start: High Knees. Stay strong.
work_start_burpee,Start: Burpee. Stay strong.
work_start_skater-jump,Start: Skater Jump. Stay strong.
work_start_mountain-climber,Start: Mountain Climber. Stay strong.
work_start_squat-jump,Start: Squat Jump. Stay strong.
work_start_alternating-lunge,Start: Alternating Lunge. Stay strong.
work_start_step-up,Start: Step Up. Stay strong.
work_start_squat,Start: Squat. Stay strong.
work_start_push-up,Start: Push-up. Stay strong.
work_start_plank-shoulder-tap,Start: Plank Shoulder Tap. Stay strong.
work_start_tricep-dip,Start: Tricep Dip. Stay strong.
work_start_plank,Start: Plank. Stay strong.
work_start_russian-twist,Start: Russian Twist. Stay strong.
work_start_kettlebell-swing,Start: Kettlebell Swing. Stay strong.
work_start_reverse-crunches,Start: Reverse Crunches. Stay strong.
work_start_split-jump,Start: Split Jump. Stay strong.
work_start_squat-kicks,Start: Squat Kicks. Stay strong.
work_start_squat-reach,Start: Squat Reach. Stay strong.
work_start_plank-jack,Start: Plank Jack. Stay strong.
work_start_butt-kick,Start: Butt Kick. Stay strong.
work_start_lateral-shuffle,Start: Lateral Shuffle. Stay strong.
work_start_bear-crawl,Start: Bear Crawl. Stay strong.
work_start_bicycle-crunch,Start: Bicycle Crunch. Stay strong.
work_start_dead-bug,Start: Dead Bug. Stay strong.
